Name,Star,Stars_count,Price,Area,Category,Services,Searched City
Skalka,4.5,274,$$,Downtown,"['Breakfast & Brunch', 'Sandwiches', 'Georgian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Skillet Capitol Hill,4,2004,$$,Central District,"['Breakfast & Brunch', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Reckless Noodle House,4.5,263,$$,Atlantic,"['Bars', 'Noodles', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Fogón Cocina Mexicana,4.5,1601,$$,Capitol Hill,['Mexican'],"['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
LOCAL Public Eatery,4,415,$$,South Lake Union,"['Bars', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
G.H. Pasta Co.,4.5,241,$$,Denny Triangle,"['Italian', 'Pasta Shops']","['Delivery', 'Takeout']",Seattle
Meet Korean BBQ,4.5,150,$$$,Capitol Hill,"['Barbeque', 'Korean']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Bar Harbor,4,237,$$,South Lake Union,"['Seafood', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Von’s 1000 Spirits,4.5,1946,$$,Downtown,"['American (New)', 'Burgers', 'Pubs']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Olmstead,4,104,$$,Capitol Hill,"['American (New)', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Stateside,4,953,$$,Capitol Hill,"['Asian Fusion', 'Cocktail Bars']","['Proof of vaccination required', 'Takeout']",Seattle
Tanoor,4.5,68,n/a,South Lake Union,"['Lebanese', 'Mediterranean', 'Halal']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Marination Ma Kai,4,1102,$$,,"['Korean', 'Hawaiian', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Old Stove Brewing,4.5,634,$$,Downtown,"['Brewpubs', 'Seafood', 'Burgers']","['Waitlist is closed', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Canlis,4,1524,$$$$,Westlake,"['American (New)', 'Seafood']",[],Seattle
Paseo,4.5,5216,$$,Fremont,"['Caribbean', 'Cuban', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
84 Yesler,5,43,n/a,Pioneer Square,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Hanok,4.5,115,$$,Madison Park,"['Korean', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Di Fiora,4.5,271,n/a,First Hill,"['Asian Fusion', 'Cocktail Bars', 'Italian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
COMMUNION Restaurant and Bar,4.5,77,n/a,Central District,"['Soul Food', 'Soup', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Gold Bar,4.5,87,$$,South Lake Union,"['Latin American', 'Cocktail Bars']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
The Butcher’s Table,4,558,$$$$,Denny Triangle,"['Steakhouses', 'Butcher', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
D’ La Santa,4.5,314,$$,Capitol Hill,"['Mexican', 'Steakhouses']","['Outdoor dining', 'Takeout']",Seattle
Hannyatou,5,32,n/a,Fremont,['Japanese'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Tavolàta,4,1029,$$$,Belltown,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Cactus Restaurants,4,816,$$,South Lake Union,"['Tex-Mex', 'Mexican', 'New Mexican Cuisine']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Palisade,4,1465,$$$,Magnolia,"['Seafood', 'Steakhouses', 'Asian Fusion']",['Outdoor dining'],Seattle
Musang Seattle,4.5,158,$$,Beacon Hill,['Filipino'],"['Outdoor dining', 'Delivery']",Seattle
Cask & Trotter,4,625,$$,South Lake Union,"['Barbeque', 'Bars', 'American (Traditional)']","['Delivery', 'Takeout']",Seattle
Salty’s on Alki Beach,4,2005,$$$,,"['Seafood', 'Venues & Event Spaces', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Palisade,4,1465,$$$,Magnolia,"['Seafood', 'Steakhouses', 'Asian Fusion']",['Outdoor dining'],Seattle
Stone Korean Restaurant,4,187,$$,South Lake Union,"['Korean', 'Barbeque', 'Asian Fusion']","['Delivery', 'Takeout']",Seattle
Piroshky Piroshky,4.5,6510,$,Downtown,"['Bakeries', 'Russian']","['Outdoor dining', 'Takeout']",Seattle
19 GOLD,4.5,531,$$,Fremont,"['Taiwanese', 'Chinese', 'Bubble Tea']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Karachi Cowboys,4.5,18,n/a,Capitol Hill,"['Pakistani', 'Indian', 'Beer, Wine & Spirits']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Taurus Ox,4.5,164,$$,Central District,"['Laotian', 'Asian Fusion', 'Noodles']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Dead Line,4.5,232,$$,Pioneer Square,"['Latin American', 'Cocktail Bars', 'Venues & Event Spaces']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
Paju,4.5,157,$$,Lower Queen Anne,['Korean'],"['Delivery', 'Takeout']",Seattle
Rondo,4.5,191,$$,Capitol Hill,"['Sushi Bars', 'Izakaya']",[],Seattle
Paju,4.5,157,$$,Lower Queen Anne,['Korean'],"['Delivery', 'Takeout']",Seattle
Xi’an Noodles,4.5,910,$$,University District,"['Chinese', 'Hot Pot']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Ramen Danbo,4.5,1356,$$,Capitol Hill,"['Ramen', 'Noodles']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
A + Hong Kong Kitchen,4,596,$$,Chinatown,"['Cantonese', 'Hong Kong Style Cafe']",[],Seattle
Karaage Setsuna,4.5,390,$$,Belltown,"['Japanese', 'Hawaiian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Dead Line,4.5,232,$$,Pioneer Square,"['Latin American', 'Cocktail Bars', 'Venues & Event Spaces']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
Asadero Ballard,4.5,751,$$,Ballard,"['Mexican', 'Steakhouses']",[],Seattle
Marination,4,290,$$,Denny Triangle,"['Asian Fusion', 'Korean', 'Seafood']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Intermezzo Carmine,4.5,241,$$,Pioneer Square,"['Cocktail Bars', 'Italian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Mamnoon,4,1010,$$,Capitol Hill,"['Lebanese', 'Persian/Iranian', 'Syrian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Mala & Satay,4.5,77,$$,South Lake Union,['Vietnamese'],[],Seattle
Lola,4,3932,$$,Belltown,"['Greek', 'Mediterranean', 'Breakfast & Brunch']",[],Seattle
iconiq,4.5,110,$$$,Mount Baker,"['French', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Soju Anju Bar,4,58,n/a,Capitol Hill,"['Korean', 'Bars']","['Delivery', 'Takeout']",Seattle
Tavolàta,4,343,$$,First Hill,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Harbor City Restaurant,4,1779,$$,Chinatown,"['Barbeque', 'Dim Sum', 'Cantonese']","['Delivery', 'Takeout']",Seattle
Citizen,4,1029,$$,Lower Queen Anne,"['Creperies', 'Coffee & Tea', 'Breakfast & Brunch']","['Outdoor dining', 'Takeout']",Seattle
Tsukushinbo,4,963,$$,Japantown,"['Japanese', 'Sushi Bars', 'Seafood']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Mike’s Noodle House,4,1186,$$,Chinatown,"['Chinese', 'Noodles', 'Soup']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Meet the Moon,4,552,$$,Leschi,"['Coffee & Tea', 'Breakfast & Brunch', 'Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Shiro’s,4.5,2269,$$$$,Belltown,"['Sushi Bars', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Tacos Chukis,4.5,453,$,South Lake Union,"['Tacos', 'Sandwiches']",['Takeout'],Seattle
Copine,4.5,200,$$$,Ballard,"['American (New)', 'French']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Violet,4.5,98,$$$,Capitol Hill,['American (New)'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Rasai Indian,4,95,n/a,Fremont,['Indian'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Fat’s Fried Chicken & Waffles,4.5,631,$$,Central District,"['Southern', 'Soul Food', 'Waffles']","['Delivery', 'Takeout']",Seattle
Dough Zone - Seattle Pine St.,4,502,$$,Downtown,"['Shanghainese', 'Dim Sum', 'Noodles']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Kin Len Thai Night Bites,4.5,275,$$,Fremont,"['Thai', 'Cocktail Bars', 'Noodles']","['Delivery', 'Takeout']",Seattle
Baegopa,4,75,n/a,Chinatown,"['Korean', 'Barbeque']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Dough Zone - Seattle Pine St.,4,502,$$,Downtown,"['Shanghainese', 'Dim Sum', 'Noodles']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Cafe Turko,4.5,1082,$$,Fremont,"['Halal', 'Turkish', 'Mediterranean']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Baegopa,4,75,n/a,Chinatown,"['Korean', 'Barbeque']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Biscuit Bitch,4.5,1477,$$,Belltown,"['Breakfast & Brunch', 'Southern', 'Coffee & Tea']","['Delivery', 'Takeout']",Seattle
Cookie’s Country Chicken,4.5,69,$$,SoDo,"['Chicken Shop', 'Pop-Up Restaurants']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Café Hagen,4,151,n/a,South Lake Union,"['Scandinavian', 'Cafes']",['Outdoor dining'],Seattle
Eden Hill Restaurant,4.5,238,$$$$,Queen Anne,"['American (New)', 'Desserts', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Finch & Pine,5,7,n/a,Capitol Hill,"['Cafes', 'Breakfast & Brunch', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Bentoful,4.5,15,n/a,South Lake Union,"['Korean', 'Asian Fusion']",['Takeout'],Seattle
Altura,4.5,580,$$$$,Capitol Hill,['Italian'],"['Outdoor dining', 'Takeout']",Seattle
Lionhead,4,266,$$,Capitol Hill,"['Szechuan', 'Cocktail Bars', 'Noodles']","['Delivery', 'Takeout']",Seattle
Taylor Shellfish Farms - Seattle,4,1114,$$$,Capitol Hill,"['Seafood', 'Live/Raw Food']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Son of A Butcher,4,138,$$,Eastlake,"['Korean', 'Barbeque']","['Delivery', 'Takeout']",Seattle
Quinn’s,4,1305,$$,First Hill,"['American (New)', 'Pubs']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Cinque Terre Ristorante,4,426,$$,Denny Triangle,"['Italian', 'Seafood', 'Pizza']","['Outdoor dining', 'Takeout']",Seattle
The Harvest Vine,4.5,623,$$$,Madison Valley,"['Tapas Bars', 'Spanish', 'Basque']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Dough Zone - International District,4,1098,$$,Chinatown,"['Shanghainese', 'Dim Sum', 'Noodles']","['Live wait time: 0 mins', 'Delivery', 'Takeout']",Seattle
Due’ Cucina Italiana - Capitol Hill,4.5,602,$$,Capitol Hill,"['Italian', 'Pasta Shops']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Le Coin,4.5,258,$$,Fremont,"['Seafood', 'French', 'American (New)']","['Outdoor dining', 'Takeout']",Seattle
Azuki Handmade Japanese Udon Noodles,4.5,101,$$,Madison Valley,"['Japanese', 'Noodles']","['Outdoor dining', 'Takeout']",Seattle
Bottlehouse,4.5,350,$$,Madrona,"['Wine Bars', 'Tapas/Small Plates']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Meekong Bar,4.5,474,$$,Belltown,"['Vietnamese', 'Asian Fusion', 'Soup']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Finch & Pine,5,7,n/a,Capitol Hill,"['Cafes', 'Breakfast & Brunch', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Lionhead,4,266,$$,Capitol Hill,"['Szechuan', 'Cocktail Bars', 'Noodles']","['Delivery', 'Takeout']",Seattle
Taku,4,68,$$,Capitol Hill,"['Izakaya', 'Bars']","['Delivery', 'Takeout']",Seattle
Birch,4.5,26,n/a,South Lake Union,"['American (New)', 'Seafood']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
S/T Hooligans,5,244,$$,Fremont,"['Cajun/Creole', 'Burgers', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Tamarind Tree,4,1438,$$,Little Saigon,"['Vietnamese', 'Noodles']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Gan Bei,4,67,n/a,Chinatown,"['Comfort Food', 'Asian Fusion', 'Hong Kong Style Cafe']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Cafe Flora,4,1290,$$,Madison Valley,"['Vegetarian', 'Vegan', 'Gluten-Free']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
S/T Hooligans,5,244,$$,Fremont,"['Cajun/Creole', 'Burgers', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Blotto,5,11,n/a,Capitol Hill,['Pizza'],"['Opened 3 months ago', 'Outdoor dining']",Seattle
Ba Bar,3.5,259,$$,South Lake Union,"['Vietnamese', 'Cocktail Bars', 'Bakeries']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Cafe Flora,4,1290,$$,Madison Valley,"['Vegetarian', 'Vegan', 'Gluten-Free']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
ChungChun Rice Hot Dog,4.5,400,$,Chinatown,"['Korean', 'Hot Dogs']","['Outdoor dining', 'Takeout']",Seattle
Seoul Bowl & Bar,4.5,55,$$,Central District,"['Korean', 'Barbeque', 'Chicken Wings']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
The Hart and The Hunter,4,133,$$,Downtown,"['Southern', 'Breakfast & Brunch', 'Cocktail Bars']","['Delivery', 'Takeout']",Seattle
Addo 206,4.5,9,n/a,Interbay,"['Puerto Rican', 'American (Traditional)']","['Delivery', 'Takeout']",Seattle
Herb & Bitter Public House,4,341,$$,Capitol Hill,"['Tapas/Small Plates', 'Cocktail Bars', 'Salad']","['Outdoor dining', 'Takeout']",Seattle
Phnom Penh Noodle House,4.5,73,n/a,Chinatown International District,"['Noodles', 'Cambodian']","['Delivery', 'Takeout']",Seattle
Ba Bar,3.5,259,$$,South Lake Union,"['Vietnamese', 'Cocktail Bars', 'Bakeries']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Kizuki Ramen & Izakaya,4,1352,$$,Capitol Hill,"['Ramen', 'Izakaya']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Momiji,4,1512,$$,Capitol Hill,"['Japanese', 'Sushi Bars', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Ben Paris,4,298,$$,Downtown,"['American (New)', 'Cocktail Bars', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Art Marble 21,3.5,376,$$,South Lake Union,"['Cocktail Bars', 'American (New)', 'Venues & Event Spaces']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Portage Bay Cafe - Roosevelt,4,2504,$$,University District,"['American (New)', 'Breakfast & Brunch', 'Cafes']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Monsoon Seattle,4,659,$$,Capitol Hill,"['Vietnamese', 'Asian Fusion', 'Bars']",['Takeout'],Seattle
Herb & Bitter Public House,4,341,$$,Capitol Hill,"['Tapas/Small Plates', 'Cocktail Bars', 'Salad']","['Outdoor dining', 'Takeout']",Seattle
Smith,4,870,$$,Capitol Hill,"['Bars', 'American (New)', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Local 360,4,3163,$$,Belltown,"['American (New)', 'Cocktail Bars']",['Takeout'],Seattle
Rocco’s,4,1563,$$,Belltown,"['Bars', 'Pizza']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Wild Ginger,4,111,$$,Denny Triangle,"['Asian Fusion', 'Bars', 'Malaysian']","['Delivery', 'Takeout']",Seattle
Smith,4,870,$$,Capitol Hill,"['Bars', 'American (New)', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Local 360,4,3163,$$,Belltown,"['American (New)', 'Cocktail Bars']",['Takeout'],Seattle
Terra Plata,4,982,$$$,Capitol Hill,"['American (New)', 'Cocktail Bars', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Kamonegi,4,293,$$,Fremont,"['Japanese', 'Noodles']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Dacha Diner,4.5,98,$$,Capitol Hill,"['Modern European', 'Russian', 'Georgian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
The Alley,4.5,95,n/a,University District,['Korean'],[],Seattle
South Lake Kitchen + Bar,5,4,n/a,Denny Triangle,"['American (New)', 'Lounges', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Tacos Chukis,4.5,1772,$,Capitol Hill,['Mexican'],['Takeout'],Seattle
Parish Northwest,4.5,64,n/a,Ballard,"['Southern', 'Cajun/Creole', 'Pop-Up Restaurants']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Il Nido,4.5,130,n/a,Alki,['Italian'],['Outdoor dining'],Seattle
Sisters And Brothers,4,615,$$,Lower Queen Anne,"['Bars', 'Sandwiches', 'Chicken Shop']","['Delivery', 'Takeout']",Seattle
Kokkaku,4,218,$$$,Wallingford,"['American (New)', 'Japanese', 'Steakhouses']","['Delivery', 'Takeout']",Seattle
Haidilao Hot Pot,4.5,169,$$$,Downtown,"['Hot Pot', 'Szechuan']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Champagne Diner,4,82,$$,Interbay,"['Cocktail Bars', 'Diners']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
Daniel’s Broiler,3.5,860,$$$$,South Lake Union,"['Steakhouses', 'Seafood']","['Delivery', 'Takeout']",Seattle
Sizzle&Crunch,4,27,n/a,South Lake Union,['Vietnamese'],['Delivery'],Seattle
Cortina,4,178,$$$,Downtown,['Italian'],['Outdoor dining'],Seattle
Jack’s Chicken Shack,4.5,29,n/a,South Lake Union,"['Southern', 'Chicken Shop']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Charlotte Restaurant & Lounge,4.5,74,n/a,Downtown,"['American (New)', 'Lounges', 'Seafood']",['Outdoor dining'],Seattle
Pike Place Chowder,4,1247,$$,Downtown,"['Seafood', 'Soup', 'American (Traditional)']","['Delivery', 'Takeout']",Seattle
AQUA by El Gaucho,4,965,$$$$,Interbay,['Seafood'],"['Delivery', 'Takeout']",Seattle
Niku Niku Japanese Barbecue,4.5,43,n/a,Haller Lake,"['Barbeque', 'Izakaya']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Drunken Chicken,4,30,n/a,Wallingford,"['Comfort Food', 'Chicken Shop', 'Hainan']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
A+ Hong Kong Restaurant,4.5,28,n/a,Chinatown,"['Hong Kong Style Cafe', 'Breakfast & Brunch', 'Sandwiches']","['Delivery', 'Takeout']",Seattle
Tacos Chukis,4.5,1772,$,Capitol Hill,['Mexican'],['Takeout'],Seattle
wa’z,4.5,119,$$$$,Belltown,['Japanese'],['Takeout'],Seattle
Bar Cotto,4.5,292,$$,Capitol Hill,"['Bars', 'Pizza', 'Italian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Teinei,4,233,$$,South Lake Union,"['Sushi Bars', 'Ramen', 'Izakaya']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Chengdu Taste 滋味成都,4,64,n/a,Chinatown,['Szechuan'],['Takeout'],Seattle
wa’z,4.5,119,$$$$,Belltown,['Japanese'],['Takeout'],Seattle
Market Grill,4.5,563,$$,Downtown,"['Seafood', 'Sandwiches', 'Soup']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Star Fusion & Bar,5,124,$$,Capitol Hill,"['Mongolian', 'Japanese', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Le Caviste,4.5,251,$$,Denny Triangle,"['Wine Bars', 'French']","['Delivery', 'Takeout']",Seattle
The Crab Pot,3,2312,$$$,Waterfront,['Seafood'],"['Delivery', 'Takeout']",Seattle
mkt.,4.5,324,$$$,Wallingford,['American (New)'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Noi Thai Cuisine,4,868,$$,Downtown,['Thai'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Ma’ono Fried Chicken,4.5,23,$$,Denny Triangle,"['Chicken Shop', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
JOEY Kitchen At University Village,4,811,$$,University District,"['American (New)', 'Steakhouses', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Bad Bishop,4.5,50,n/a,Downtown,"['Cocktail Bars', 'American (Traditional)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Black Bottle,4,1112,$$,Belltown,"['American (New)', 'Gastropubs', 'Tapas/Small Plates']",[],Seattle
Dumpling The Noodle,4.5,181,$$,Wallingford,"['Noodles', 'Chinese']","['Delivery', 'Takeout']",Seattle
Jack’s Chicken Shack,4.5,29,n/a,South Lake Union,"['Southern', 'Chicken Shop']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
How to Cook a Wolf,4,38,n/a,Madison Park,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Taneda Sushi in Kaiseki,5,205,$$$$,Capitol Hill,"['Sushi Bars', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
The Carlile Room,4,472,$$,Downtown,"['American (New)', 'Bars', 'Burgers']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Art of The Table,4,672,$$$$,Fremont,['American (New)'],"['Delivery', 'Takeout']",Seattle
Local Tide,4.5,82,n/a,Fremont,"['Seafood', 'Sandwiches', 'Salad']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Qin Xi’an Noodles,4,344,$$,Capitol Hill,"['Chinese', 'Noodles']","['Delivery', 'Takeout']",Seattle
